,UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,T1OpenInterest
8,MCO,185.72,*,MCO180817C00105000,,call,2018-08-17,2018-07-26,105.0,45.3,79.3,82.35,0,5,5
14,MCO,185.72,*,MCO180817C00120000,,call,2018-08-17,2018-07-26,120.0,45.15,63.55,67.9,0,0,0
24,MCO,185.72,*,MCO180817C00145000,,call,2018-08-17,2018-07-26,145.0,23.86,38.65,42.5,0,1,1
26,MCO,185.72,*,MCO180817C00150000,,call,2018-08-17,2018-07-26,150.0,37.5,34.85,37.55,0,22,22
28,MCO,185.72,*,MCO180817C00155000,,call,2018-08-17,2018-07-26,155.0,28.0,29.9,32.65,0,36,36
30,MCO,185.72,*,MCO180817C00160000,,call,2018-08-17,2018-07-26,160.0,12.6,24.95,27.75,0,29,29
32,MCO,185.72,*,MCO180817C00165000,,call,2018-08-17,2018-07-26,165.0,16.0,20.05,22.9,0,50,50
34,MCO,185.72,*,MCO180817C00170000,,call,2018-08-17,2018-07-26,170.0,16.96,15.35,18.15,0,126,126
36,MCO,185.72,*,MCO180817C00175000,,call,2018-08-17,2018-07-26,175.0,11.01,11.45,11.95,1,354,353
38,MCO,185.72,*,MCO180817C00180000,,call,2018-08-17,2018-07-26,180.0,7.45,7.45,7.8,21,124,134
40,MCO,185.72,*,MCO180817C00185000,,call,2018-08-17,2018-07-26,185.0,4.45,4.2,4.4,46,176,183
42,MCO,185.72,*,MCO180817C00190000,,call,2018-08-17,2018-07-26,190.0,1.88,1.96,2.1,36,66,70
44,MCO,185.72,*,MCO180817C00195000,,call,2018-08-17,2018-07-26,195.0,0.86,0.77,0.85,23,357,367
46,MCO,185.72,*,MCO180817C00200000,,call,2018-08-17,2018-07-26,200.0,0.32,0.25,0.31,17,11,18
62,MCO,185.72,*,MCO180921C00175000,,call,2018-09-21,2018-07-26,175.0,12.7,12.55,14.4,3,0,3
66,MCO,185.72,*,MCO180921C00185000,,call,2018-09-21,2018-07-26,185.0,5.8,5.9,6.05,13,3,12
68,MCO,185.72,*,MCO180921C00190000,,call,2018-09-21,2018-07-26,190.0,3.5,3.4,3.65,1,18,18
70,MCO,185.72,*,MCO180921C00195000,,call,2018-09-21,2018-07-26,195.0,2.18,1.89,2.04,0,3,3
100,MCO,185.72,*,MCO181116C00120000,,call,2018-11-16,2018-07-26,120.0,40.66,64.35,68.85,0,1,1
104,MCO,185.72,*,MCO181116C00130000,,call,2018-11-16,2018-07-26,130.0,42.8,55.45,58.85,0,9,9
110,MCO,185.72,*,MCO181116C00145000,,call,2018-11-16,2018-07-26,145.0,29.45,41.45,44.4,0,22,22
112,MCO,185.72,*,MCO181116C00150000,,call,2018-11-16,2018-07-26,150.0,30.71,36.5,39.7,0,16,16
114,MCO,185.72,*,MCO181116C00155000,,call,2018-11-16,2018-07-26,155.0,21.2,31.4,34.3,0,9,9
116,MCO,185.72,*,MCO181116C00160000,,call,2018-11-16,2018-07-26,160.0,11.73,27.45,28.75,0,17,17
118,MCO,185.72,*,MCO181116C00165000,,call,2018-11-16,2018-07-26,165.0,15.35,23.0,24.4,0,37,37
120,MCO,185.72,*,MCO181116C00170000,,call,2018-11-16,2018-07-26,170.0,19.0,18.7,20.05,0,170,170
122,MCO,185.72,*,MCO181116C00175000,,call,2018-11-16,2018-07-26,175.0,13.43,15.2,16.15,0,10,10
124,MCO,185.72,*,MCO181116C00180000,,call,2018-11-16,2018-07-26,180.0,13.2,11.8,12.55,0,422,422
126,MCO,185.72,*,MCO181116C00185000,,call,2018-11-16,2018-07-26,185.0,7.5,8.7,9.5,0,176,176
128,MCO,185.72,*,MCO181116C00190000,,call,2018-11-16,2018-07-26,190.0,7.2,6.4,7.05,0,112,112
130,MCO,185.72,*,MCO181116C00195000,,call,2018-11-16,2018-07-26,195.0,4.45,4.2,4.85,0,44,44
132,MCO,185.72,*,MCO181116C00200000,,call,2018-11-16,2018-07-26,200.0,2.72,2.76,3.35,1,15,15
134,MCO,185.72,*,MCO181116C00210000,,call,2018-11-16,2018-07-26,210.0,1.15,0.98,1.45,0,4,4
136,MCO,185.72,*,MCO181116C00220000,,call,2018-11-16,2018-07-26,220.0,0.49,0.31,0.61,0,20,20
160,MCO,185.72,*,MCO190215C00150000,,call,2019-02-15,2018-07-26,150.0,39.0,38.1,41.45,0,10,10
162,MCO,185.72,*,MCO190215C00155000,,call,2019-02-15,2018-07-26,155.0,23.2,32.45,37.0,0,1,1
166,MCO,185.72,*,MCO190215C00165000,,call,2019-02-15,2018-07-26,165.0,17.96,25.35,28.4,0,20,20
168,MCO,185.72,*,MCO190215C00170000,,call,2019-02-15,2018-07-26,170.0,14.39,20.6,24.5,0,3,3
170,MCO,185.72,*,MCO190215C00175000,,call,2019-02-15,2018-07-26,175.0,11.2,18.15,19.8,0,1,1
172,MCO,185.72,*,MCO190215C00180000,,call,2019-02-15,2018-07-26,180.0,9.63,14.75,16.3,0,8,8
174,MCO,185.72,*,MCO190215C00185000,,call,2019-02-15,2018-07-26,185.0,11.75,11.7,13.4,0,8,8
176,MCO,185.72,*,MCO190215C00190000,,call,2019-02-15,2018-07-26,190.0,10.05,9.1,10.6,0,15,15
178,MCO,185.72,*,MCO190215C00195000,,call,2019-02-15,2018-07-26,195.0,7.72,6.85,8.35,0,157,157
180,MCO,185.72,*,MCO190215C00200000,,call,2019-02-15,2018-07-26,200.0,5.75,5.2,6.2,5,164,169
182,MCO,185.72,*,MCO190215C00210000,,call,2019-02-15,2018-07-26,210.0,1.19,2.54,4.0,0,9,9
184,MCO,185.72,*,MCO190215C00220000,,call,2019-02-15,2018-07-26,220.0,1.55,1.16,1.92,9,20,20
186,MCO,185.72,*,MCO190215C00230000,,call,2019-02-15,2018-07-26,230.0,0.75,0.49,1.12,1,10,11
188,MCO,185.72,*,MCO190215C00240000,,call,2019-02-15,2018-07-26,240.0,0.4,0.19,1.26,1,0,1
200,NEE,168.16,*,NEE180817C00140000,,call,2018-08-17,2018-07-26,140.0,28.3,26.0,30.2,0,24,24
204,NEE,168.16,*,NEE180817C00150000,,call,2018-08-17,2018-07-26,150.0,16.03,16.4,19.6,0,6,6
208,NEE,168.16,*,NEE180817C00160000,,call,2018-08-17,2018-07-26,160.0,8.56,8.0,9.6,0,75,75
210,NEE,168.16,*,NEE180817C00165000,,call,2018-08-17,2018-07-26,165.0,4.4,4.5,4.9,96,855,879
212,NEE,168.16,*,NEE180817C00170000,,call,2018-08-17,2018-07-26,170.0,1.85,1.7,1.95,196,2830,2853
214,NEE,168.16,*,NEE180817C00175000,,call,2018-08-17,2018-07-26,175.0,0.5,0.4,0.65,14,1705,1468
216,NEE,168.16,*,NEE180817C00180000,,call,2018-08-17,2018-07-26,180.0,0.1,0.0,0.25,10,104,94
218,NEE,168.16,*,NEE180817C00185000,,call,2018-08-17,2018-07-26,185.0,0.01,0.0,0.1,1,10,9
220,NEE,168.16,*,NEE180817C00190000,,call,2018-08-17,2018-07-26,190.0,0.07,0.0,0.05,0,5,5
238,NEE,168.16,*,NEE180921C00130000,,call,2018-09-21,2018-07-26,130.0,34.0,36.0,40.5,0,0,0
240,NEE,168.16,*,NEE180921C00135000,,call,2018-09-21,2018-07-26,135.0,29.55,31.1,35.2,0,2,2
242,NEE,168.16,*,NEE180921C00140000,,call,2018-09-21,2018-07-26,140.0,31.38,26.3,30.2,0,8,8
244,NEE,168.16,*,NEE180921C00145000,,call,2018-09-21,2018-07-26,145.0,18.1,21.4,25.5,0,83,83
246,NEE,168.16,*,NEE180921C00150000,,call,2018-09-21,2018-07-26,150.0,19.94,17.6,19.4,0,129,129
248,NEE,168.16,*,NEE180921C00155000,,call,2018-09-21,2018-07-26,155.0,15.5,12.9,14.9,0,252,252
250,NEE,168.16,*,NEE180921C00160000,,call,2018-09-21,2018-07-26,160.0,9.0,9.4,9.8,1,680,680
252,NEE,168.16,*,NEE180921C00165000,,call,2018-09-21,2018-07-26,165.0,5.9,5.5,6.0,10,673,673
254,NEE,168.16,*,NEE180921C00170000,,call,2018-09-21,2018-07-26,170.0,2.85,2.9,3.2,199,7184,7220
256,NEE,168.16,*,NEE180921C00175000,,call,2018-09-21,2018-07-26,175.0,1.1,1.2,1.35,222,6018,6064
